country,cases,date
Poland,5,6/8/09
Poland,6,6/10/09
Poland,7,6/11/09
Poland,7,6/12/09
Poland,7,6/15/09
Poland,7,6/17/09
Poland,7,6/19/09
Poland,13,6/22/09
Poland,13,6/24/09
Poland,13,6/26/09
Poland,14,6/29/09
Poland,15,7/1/09
Poland,19,7/3/09
Poland,25,7/6/09
SGP,0,5/23/09
SGP,0,5/25/09
SGP,0,5/26/09
SGP,1,5/27/09
SGP,4,5/29/09
SGP,5,6/1/09
SGP,9,6/3/09
SGP,12,6/5/09
SGP,15,6/8/09
SGP,18,6/10/09
SGP,18,6/11/09
SGP,18,6/12/09
SGP,47,6/15/09
SGP,49,6/17/09
SGP,77,6/19/09
SGP,142,6/22/09
SGP,194,6/24/09
SGP,315,6/26/09
SGP,599,6/29/09
SGP,701,7/1/09
SGP,878,7/3/09
SGP,1055,7/6/09
Vietnam,0,5/23/09
Vietnam,0,5/25/09
Vietnam,0,5/26/09
Vietnam,0,5/27/09
Vietnam,0,5/29/09
Vietnam,1,6/1/09
Vietnam,3,6/3/09
Vietnam,3,6/5/09
Vietnam,9,6/8/09
Vietnam,15,6/10/09
Vietnam,16,6/11/09
Vietnam,23,6/12/09
Vietnam,25,6/15/09
Vietnam,27,6/17/09
Vietnam,27,6/19/09
Vietnam,35,6/22/09
Vietnam,56,6/24/09
Vietnam,63,6/26/09
Vietnam,84,6/29/09
Vietnam,123,7/1/09
Vietnam,131,7/3/09
Vietnam,181,7/6/09
Morocco,0,5/23/09
Morocco,0,5/25/09
Morocco,0,5/26/09
Morocco,0,5/27/09
Morocco,0,5/29/09
Morocco,0,6/1/09
Morocco,0,6/3/09
Morocco,0,6/5/09
Morocco,0,6/8/09
Morocco,0,6/10/09
Morocco,0,6/11/09
Morocco,0,6/12/09
Morocco,1,6/15/09
Morocco,3,6/17/09
Morocco,8,6/19/09
Morocco,8,6/22/09
Morocco,9,6/24/09
Morocco,11,6/26/09
Morocco,11,6/29/09
Morocco,17,7/1/09
Morocco,17,7/3/09
Morocco,17,7/6/09
Malaysia,2,5/23/09
Malaysia,2,5/25/09
Malaysia,2,5/26/09
Malaysia,2,5/27/09
Malaysia,2,5/29/09
Malaysia,2,6/1/09
Malaysia,2,6/3/09
Malaysia,2,6/5/09
Malaysia,5,6/8/09
Malaysia,5,6/10/09
Malaysia,5,6/11/09
Malaysia,5,6/12/09
Malaysia,5,6/15/09
Malaysia,17,6/17/09
Malaysia,23,6/19/09
